year,violations,orders,rental_units,violation_rate,order_rate
2017,53012,12003,146671,36.14347757907153,8.183621847536322
2018,48357,12300,148151,32.64034667332653,8.302340179951536
2019,41175,11289,149274,27.583504160135053,7.562602998512801
2020,29625,8515,148955,19.888556946728876,5.716491557853043
2021,34867,10410,147958,23.56547128239095,7.035780424174427
2022,33006,9729,148261,22.262091851532094,6.562076338349263
2023,37344,11896,148393,25.165607542134737,8.016550645919956
2024,37155,12370,148145,25.080157953356508,8.349927435958014
2025,39689,12471,148088,26.800956188212417,8.42134406569067
